year,month,pc1_hf,SP500_hf,MP_pm,CBI_pm,MP_median,CBI_median
2001,4,-0.50644109,2.32456,-0.50644109,-0,-0.39070124,-0.11573985
2001,5,-0.14831302,0.37291,-0.14831302,-0,-0.0962114,-0.05210162
2001,6,0.08603963,-0.52379,0.08603963,0,0.07399816,0.01204147
2001,7,0,0,0,0,0,0
2001,8,-0.09010571,-0.6934,-0,-0.09010571,-0.00404332,-0.08606239
2001,9,-0.07529557,NaN,-0,-0,NaN,NaN
2001,10,-0.0603141,-0.35196,-0,-0.0603141,-0.00934119,-0.05097291
2001,11,-0.17758018,0.6426,-0.17758018,-0,-0.12679517,-0.05078501
2001,12,-0.0724479,0.26526,-0.0724479,-0,-0.05191214,-0.02053576
2002,1,0.02633679,-0.03735,0.02633679,0,0.01537737,0.01095942
2002,2,0,0,0,0,0,0
2002,3,-0.07093456,-0.33914,-0,-0.07093456,-0.01540963,-0.05552493
2002,4,0,0,0,0,0,0
2002,5,-0.03313765,-0.29932,-0,-0.03313765,0.00113376,-0.03427141
2002,6,0.00566774,-0.48238,0.00566774,0,0.03136311,-0.02569537
2002,7,0,0,0,0,0,0
2002,8,-0.1023151,-0.60374,-0,-0.1023151,-0.01545075,-0.08686435
2002,9,-0.01267204,-1.01173,-0,-0.01267204,0.0535004,-0.06617244
2002,10,0,0,0,0,0,0
2002,11,-0.10318158,-0.53662,-0,-0.10318158,-0.01985365,-0.08332793
2002,12,0.01814157,-0.2987,0.01814157,0,0.0267367,-0.00859513
2003,1,0.04342205,0.15934,0,0.04342205,0.01228723,0.03113482
2003,2,0,0,0,0,0,0
2003,3,0.00703319,-0.43291,0.00703319,0,0.02912005,-0.02208686
2003,4,0,0,0,0,0,0
2003,5,-0.0901985,0.12916,-0.0901985,-0,-0.05273812,-0.03746038
2003,6,0.14221599,-0.20488,0.14221599,0,0.08322515,0.05899084
2003,7,0,0,0,0,0,0
2003,8,-0.03448743,-0.07643,-0,-0.03448743,-0.01272344,-0.02176399
2003,9,-0.00339972,0.09982,-0.00339972,-0,-0.00760348,0.00420376
2003,10,-0.0817273,-0.0135,-0,-0.0817273,-0.04006522,-0.04166208
2003,11,0,0,0,0,0,0
2003,12,0.02845916,-0.11632,0.02845916,0,0.02110906,0.0073501
2004,1,0.12624922,-0.91791,0.12624922,0,0.11741226,0.00883696
2004,2,0,0,0,0,0,0
2004,3,-0.05886477,-0.05315,-0,-0.05886477,-0.02628895,-0.03257582
2004,4,0,0,0,0,0,0
2004,5,0.00612909,0.36501,0,0.00612909,-0.01852312,0.02465221
