start,pc1,SP500,MP_pm,CBI_pm,MP_median,CBI_median
2001-03-20 14:15,-0.06791155,-0.60045,-0,-0.06791155,0.00155644,-0.06946799
2001-04-18 10:55,-0.50644109,2.32456,-0.50644109,-0,-0.39070124,-0.11573985
2001-05-15 14:15,-0.14831302,0.37291,-0.14831302,-0,-0.0962114,-0.05210162
2001-06-27 14:12,0.08603963,-0.52379,0.08603963,0,0.07399816,0.01204147
2001-08-21 14:15,-0.09010571,-0.6934,-0,-0.09010571,-0.00404332,-0.08606239
2001-09-17 08:20,-0.07529557,NaN,-0,-0,NaN,NaN
2001-10-02 14:15,-0.0603141,-0.35196,-0,-0.0603141,-0.00934119,-0.05097291
2001-11-06 14:20,-0.17758018,0.6426,-0.17758018,-0,-0.12679517,-0.05078501
2001-12-11 14:14,-0.0724479,0.26526,-0.0724479,-0,-0.05191214,-0.02053576
2002-01-30 14:15,0.02633679,-0.03735,0.02633679,0,0.01537737,0.01095942
2002-03-19 14:15,-0.07093456,-0.33914,-0,-0.07093456,-0.01540963,-0.05552493
2002-05-07 14:15,-0.03313765,-0.29932,-0,-0.03313765,0.00113376,-0.03427141
2002-06-26 14:15,0.00566774,-0.48238,0.00566774,0,0.03136311,-0.02569537
2002-08-13 14:15,-0.1023151,-0.60374,-0,-0.1023151,-0.01545075,-0.08686435
2002-09-24 14:15,-0.01267204,-1.01173,-0,-0.01267204,0.0535004,-0.06617244
2002-11-06 14:14,-0.10318158,-0.53662,-0,-0.10318158,-0.01985365,-0.08332793
2002-12-10 14:15,0.01814157,-0.2987,0.01814157,0,0.0267367,-0.00859513
2003-01-29 14:16,0.04342205,0.15934,0,0.04342205,0.01228723,0.03113482
2003-03-18 14:15,0.00703319,-0.43291,0.00703319,0,0.02912005,-0.02208686
2003-05-06 14:13,-0.0901985,0.12916,-0.0901985,-0,-0.05273812,-0.03746038
2003-06-25 14:15,0.14221599,-0.20488,0.14221599,0,0.08322515,0.05899084
2003-08-12 14:15,-0.03448743,-0.07643,-0,-0.03448743,-0.01272344,-0.02176399
2003-09-16 14:19,-0.00339972,0.09982,-0.00339972,-0,-0.00760348,0.00420376
2003-10-28 14:15,-0.0817273,-0.0135,-0,-0.0817273,-0.04006522,-0.04166208
2003-12-09 14:15,0.02845916,-0.11632,0.02845916,0,0.02110906,0.0073501
2004-01-28 14:15,0.12624922,-0.91791,0.12624922,0,0.11741226,0.00883696
2004-03-16 14:15,-0.05886477,-0.05315,-0,-0.05886477,-0.02628895,-0.03257582
2004-05-04 14:15,0.00612909,0.36501,0,0.00612909,-0.01852312,0.02465221
2004-06-30 14:15,-0.02737725,0.26758,-0.02737725,-0,-0.02951402,0.00213677
2004-08-10 14:15,0.04971448,-0.30232,0.04971448,0,0.04273725,0.00697723
2004-09-21 14:15,-0.01419391,0.0293,-0.01419391,-0,-0.00882984,-0.00536407
2004-11-10 14:15,-0.02838619,0.1175,-0.02838619,-0,-0.02114236,-0.00724383
2004-12-14 14:15,-0.01455039,0.06497,-0.01455039,-0,-0.01111769,-0.0034327
2005-02-02 14:15,-0.01397984,0.01929,-0.01397984,-0,-0.00813078,-0.00584906
2005-03-22 14:15,0.06765631,-0.33953,0.06765631,0,0.05390887,0.01374744
2005-05-03 14:15,0.02640767,0.15831,0,0.02640767,0.00384096,0.02256671
2005-05-03 16:00,-0.02077467,0.46269,-0.02077467,-0,-0.03775206,0.01697739
2005-06-30 14:15,0.04697282,-0.41325,0.04697282,0,0.04792712,-0.0009543
2005-08-09 14:15,-0.01986487,0.21427,-0.01986487,-0,-0.02260494,0.00274007
2005-09-20 14:15,0.02471223,-0.15015,0.02471223,0,0.02123639,0.00347584
2005-11-01 14:15,0.00645912,0.2192,0,0.00645912,-0.00973451,0.01619363
